# Field           ID                          RA                   DEC                     FWHM                 ISOarea   KRON_RADIUS          nDet_magPStotal   PhotoFlagDet   U_PStotal            F378_PStotal         F395_PStotal         F410_PStotal         F430_PStotal         G_PStotal            F515_PStotal         R_PStotal            F660_PStotal         I_PStotal            F861_PStotal         Z_PStotal            e_U_PStotal            e_F378_PStotal         e_F395_PStotal         e_F410_PStotal         e_F430_PStotal         e_G_PStotal             e_F515_PStotal         e_R_PStotal             e_F660_PStotal          e_I_PStotal             e_F861_PStotal          e_Z_PStotal             r_-_i                    r_-_J0660             e(r_-_i)                e(r_-_J0660)            P(GoodPho)           P(BadPho)             main_id                                         ra_x             dec_x            coo_err_maj   coo_err_min   coo_err_angle   nbref   ra_sexa          dec_sexa         main_type           other_types                                                                                             radvel        redshift   sp_type              morph_type     plx      pmra     pmdec    size_maj   size_min   size_angle   B        V        R_x      J        H        K        u        g        r_xa     i        z        angDist   
  SPLUS-n16s18    iDR3.SPLUS-n16s18.009027    176.3135693424706    -20.746519437466933     16.325035            814       4.2146587            12.0              2              18.702368            18.252941            18.075954            17.996902            17.831173            17.680958            17.515936            17.258799            16.852608            17.039898            16.875359            16.833460000000002   0.041353565            0.039977394            0.050980818            0.045200784            0.038470943            0.014461348             0.023355111            0.0085915765            0.007937312             0.007869864             0.014801517             0.009932458             0.2189009999999989       0.40619099999999975   0.011651177886112985    0.011696841819085023    0.5700913653481828   0.42990863465181717   "2MASX J11451524-2044471"                       176.3135375      -20.7464305556   ""            ""            172.0           3       "11 45 15.249  " "-20 44 47.15  " Galaxy              G                                                                                                       3495.3834     0.011728   ""                   ""             ""       ""       ""       0.35       0.126      0            16.43    ""       15.33    13.914   13.364   13.088   ""       ""       ""       ""       ""       0.337455  
  SPLUS-n16s21    iDR3.SPLUS-n16s21.063116    179.36682377284328   -19.624040211696986     4.7021184            1954      4.430141000000001    12.0              3              16.616234            16.183908            16.332869            16.364143            16.302284            16.245464000000002   16.024708            16.128204            15.119028            16.288695999999998   16.290318            16.167953            0.0077317427000000005  0.0090036215           0.013645124            0.011822697            0.011009437            0.0047743246            0.008047816999999999   0.0040565543            0.0028686696            0.0048749675            0.008872027             0.0062766657            -0.16049199999999786     1.009176              0.006341998179982768    0.0049683898863527864   0.6191366065000645   0.38086339349993553   "ESO 572-25"                                    179.3666964489   -19.6238140545   0.007         0.003         90.0            16      "11 57 28.00715" "-19 37 25.7306" Galaxy              "EmG|*  |G"                                                                                             1775.7764     0.005941   ""                   S0             ""       ""       ""       0.28       0.213      5            15.05    ""       14.16    13.439   12.634   12.625   ""       ""       ""       ""       ""       0.921557  
  SPLUS-n17s04    iDR3.SPLUS-n17s04.005160    154.8382251423767    -22.14259842833651      7.7913666            214       4.7025504            12.0              3              18.578032            17.964083            18.209870000000002   18.363583            18.339686999999998   17.654896            16.450853            17.710266            16.30046             18.011948            18.211205            17.814697            0.025656784            0.024336293            0.041088603            0.04171814             0.0430471              0.013204694             0.013078603000000001   0.013390959             0.006612094000000001    0.01861488              0.034667406             0.02895039              -0.30168199999999956     1.4098059999999997    0.022931016993454106    0.01493444240688339     0.8531921679983658   0.14680783200163422   "CTS 1011"                                      154.8384583333   -22.1430555556   2.5           2.5           90.0            11      "10 19 21.23   " "-22 08 35.0   " HII_G               H2G                                                                                                     3617.3904     0.01214    ""                   ""             ""       ""       ""       ""         ""         ""           ""       ""       ""       ""       ""       ""       ""       ""       ""       ""       ""       1.820113  
  SPLUS-n17s04    iDR3.SPLUS-n17s04.005348    154.83865197802902   -22.1433030664676       7.563778999999999    166       5.157617             12.0              3              18.645805            17.95552             18.313602            18.394985000000002   18.32275             17.701998            16.569674            17.69537             16.36073             17.986588            18.226536            17.817379000000003   0.026738325            0.024222614            0.043917917            0.04260363             0.042580687            0.01356223              0.0139187155           0.0132751595            0.0068177483            0.018295372             0.035095863             0.029030372999999998    -0.29121800000000064     1.3346400000000003    0.022604214128538604    0.014923523432239221    0.8590258720497186   0.14097412795028139   "CTS 1011"                                      154.8384583333   -22.1430555556   2.5           2.5           90.0            11      "10 19 21.23   " "-22 08 35.0   " HII_G               H2G                                                                                                     3617.3904     0.01214    ""                   ""             ""       ""       ""       ""         ""         ""           ""       ""       ""       ""       ""       ""       ""       ""       ""       ""       ""       1.100402  
  SPLUS-n17s04    iDR3.SPLUS-n17s04.019872    154.59067560656675   -21.66881849744636      4.549024             141       3.6279132000000005   12.0              0              18.49001             18.380733            18.283739999999998   17.551548            17.351402            17.74096             17.899939            17.71423             17.457344            17.651752            17.370169            17.339560000000002   0.024328226            0.031075442            0.04304197             0.025316335            0.023394821            0.013871658             0.029765032            0.013495577             0.012332541             0.01456171              0.018790071999999998    0.019891363000000002    0.062478000000002254     0.2568860000000015    0.019853815670722568    0.018281744065586577    0.6344849799680503   0.3655150200319497    "[VV96] J101821.7-214008"                       154.5906198859   -21.6688396959   0.0           0.0           90.0            12      "10 18 21.74877" "-21 40 07.8229" QSO                 "Rad|QSO|*  |G  |QSO|IR"                                                                                253815.1929   2.47       ""                   ""             0.083    0.09     0.09     ""         ""         ""           17.95    17.95    ""       16.219   15.573   14.744   ""       ""       ""       ""       ""       0.201435  
  SPLUS-n17s04    iDR3.SPLUS-n17s04.022150    155.3376370346406    -21.607687357095795     11.72967             734       3.8694491            12.0              0              17.714722000000002   17.234823000000002   17.205833            17.285416            17.147907            16.93146             16.56251             16.657318            16.077408            16.680027            16.800894            16.550432            0.01636512             0.016999446            0.023710657000000003   0.021680476            0.020775571            0.008923385             0.013830135            0.0075352727            0.0059972717            0.007956684             0.012999413000000001    0.011333808             -0.02270899999999898     0.5799100000000017    0.01095851974215593     0.009630555669689376    0.6843566888786752   0.3156433111213248    "6dFGS gJ102121.0-213628"                       155.3376         -21.6079777778   ""            ""            172.0           1       "10 21 21.024  " "-21 36 28.72  " Galaxy              G                                                                                                       3292.7173     0.011044   ""                   ""             ""       ""       ""       0.237      0.128      175          16.63    ""       15.57    14.309   13.914   13.456   ""       ""       ""       ""       ""       1.052837  
  SPLUS-n17s07    iDR3.SPLUS-n17s07.070201    160.31322227492322   -21.02303660410036      4.622410299999999    3796      4.13357              12.0              3              18.179817            17.960163            17.960844            17.935326            17.81711             17.512093            17.295616            16.919918            16.25225             16.726727            16.526619            16.458347            0.017984191            0.02268851             0.033259794            0.02839832             0.025739146            0.008958984             0.015689848            0.0061598006            0.0052503995            0.0059034014            0.009362615             0.0068845823            0.19319099999999878      0.667667999999999     0.008531898471107255    0.008093814820056153    0.5173750749995318   0.48262492500046816   "ESO 568-21"                                    160.3131155146   -21.023098224    0.0           0.0           90.0            23      "10 41 15.14772" "-21 01 23.1536" Seyfert_1           "*  |G  |Sy1|AGN|IR |X  |G"                                                                             3601.1096     0.012085   ""                   Sb             ""       1.15     -0.51    0.647      0.427      155          14.29    ""       13.42    12.236   11.535   11.167   ""       ""       ""       ""       ""       0.421798  
  SPLUS-n17s08    iDR3.SPLUS-n17s08.007729    161.25085749109647   -22.152277484715963     22.285912            1081      4.201876599999999    12.0              3              18.867153            18.352097            18.360853            18.250828            18.099035            18.0169              17.840427            17.629679            17.036432            17.549136999999998   17.448605999999998   17.391227999999998   0.026574862999999997   0.029859157            0.04600046             0.038774207000000005   0.034147535            0.012987536000000001    0.02309229             0.009264861999999999    0.007910269000000001    0.0102854865            0.019226074             0.01427844              0.08054200000000122      0.5932469999999981    0.013843009081147285    0.012182365268346085    0.6785693582539687   0.3214306417460313    "ESO 569-2"                                     161.2503208333   -22.1521361111   ""            ""            172.0           8       "10 45 00.077  " "-22 09 07.69  " IG                  "IR |G  |IG"                                                                                            2866.2722     0.009607   ""                   E              ""       ""       ""       0.287      0.247      55           15.59    ""       14.46    13.41    12.855   12.519   ""       ""       ""       ""       ""       1.860332  
  SPLUS-n17s09    iDR3.SPLUS-n17s09.017962    162.10543718248562   -21.850134134896635     3.5420687000000006   389       4.308961             12.0              2              18.079845000000002   17.359337            17.708887            17.709232            17.72229             17.400818            16.737617            16.916363            15.684682999999998   16.986342999999998   16.895032999999998   16.733562            0.01829135             0.017515901            0.031707395            0.028048447999999997   0.027549721            0.0095572               0.012732775            0.006389644             0.0040139435            0.0074264677            0.013581132             0.009154134             -0.06997999999999749     1.2316800000000026    0.009796936916499936    0.007545812936187077    0.638934588834644    0.361065411165356     "2MASX J10482527-2151000"                       162.1053737891   -21.8500937082   0.001         0.001         90.0            1       "10 48 25.28971" "-21 51 00.3373" Galaxy              "*  |G"                                                                                                 4542.065      0.015267   ""                   ""             ""       ""       ""       0.147      0.147      90           17.38    ""       16.18    14.783   14.161   13.805   ""       ""       ""       ""       ""       0.257     
  SPLUS-n17s09    iDR3.SPLUS-n17s09.048801    161.9348517270216    -20.96356099589758      5.5090675000000005   293       3.9054917999999996   12.0              0              17.857594            17.064026000000002   17.385126            17.431652            17.506762            16.94479             16.00515             16.824074            15.460830999999999   17.029335            17.036406            16.88362             0.015908528            0.01475193             0.025767604            0.024016786000000002   0.024507975            0.007492855             0.008751435            0.0060857087            0.0035997438            0.007777841800000001    0.015093485             0.010264711             -0.20526100000000014     1.3632430000000006    0.00987576191729443     0.007070643945702127    0.7056860127834608   0.2943139872165393    "EC 10453-2041"                                 161.9343333333   -20.9634166667   2.5           2.5           90.0            4       "10 47 44.24   " "-20 57 48.3   " EmG                 "EmG|IR |G"                                                                                             3676.6151     0.01234    ""                   ""             ""       ""       ""       ""         ""         ""           16.89    15.91    ""       ""       ""       ""       ""       ""       ""       ""       ""       1.818498  
  SPLUS-n17s11    iDR3.SPLUS-n17s11.027010    165.90237819943616   -21.629405520763783     3.2850351000000004   102       3.991446             12.0              2              17.772638            17.636685999999997   17.534735            17.910969            17.763622            17.831478            17.781445            17.512531            16.942352            17.222008            17.013887            16.937672            0.015511075            0.021703614            0.031106222000000003   0.03456241             0.030997802            0.012615495             0.02468417             0.009603609             0.008465587             0.009405779             0.014469683             0.010716377             0.2905230000000003       0.5701789999999995    0.013442395040383316    0.012802166577554364    0.5585872426810321   0.4414127573189679    "V* TU Crt"                                     165.9023866339   -21.629350589    0.0           0.0           90.0            29      "11 03 36.57279" "-21 37 45.6621" CataclyV*           "CV*|*  |V* |DN*|IR"                                                                                    ""            ""         ""                   ""             3.2199   -11.42   -11.46   ""         ""         ""           ""       ""       ""       16.225   15.517   15.212   ""       ""       ""       ""       ""       0.199759  
  SPLUS-n17s13    iDR3.SPLUS-n17s13.016426    167.71070433927775   -21.97451931840779      28.261698            3214      3.9057705            12.0              2              18.888123            18.557533            18.294249            18.256462            18.110428            17.914883            17.731815            17.478922            17.081778            17.297320000000003   16.966316            17.088832999999997   0.03465182             0.037945356            0.04822397             0.040460102000000005   0.03611632             0.012580408999999999    0.022713467            0.008884211             0.008634845             0.009123599             0.017070463             0.012396585             0.18160199999999804      0.39714400000000083   0.012734569635654044    0.012389098161954566    0.5418170475450106   0.45818295245498936   "ESO 570-10"                                    167.7105541667   -21.9745666667   ""            ""            172.0           7       "11 10 50.533  " "-21 58 28.44  " Galaxy              "IR |*  |G"                                                                                             3538.8992     0.011875   ""                   Sb:            ""       ""       ""       0.447      0.197      55           15.08    ""       14.09    12.941   12.371   12.596   ""       ""       ""       ""       ""       0.52953   
  SPLUS-n17s13    iDR3.SPLUS-n17s13.038290    168.4623790067395    -21.448563835110267     9.433542             680       4.5956173            12.0              2              18.296257            17.724096            17.784447            17.886965            17.781769            17.593903            17.166683            17.427269            16.634575            17.478222            17.30951             17.339546            0.025034636000000002   0.023965677            0.036811727999999995   0.03175683             0.029211976            0.010479436             0.016353162            0.008715705             0.0068717697            0.010199431             0.02191417              0.014979081000000002    -0.050952999999999804    0.7926939999999973    0.013416106229856187    0.01109886176402171     0.6701425995170168   0.3298574004829832    "6dFGS gJ111351.0-212655"                       168.4625         -21.4486111111   ""            ""            172.0           3       "11 13 51.0    " "-21 26 55     " Galaxy              G                                                                                                       3663.3417     0.012295   ""                   ""             ""       ""       ""       ""         ""         ""           16.68    ""       15.68    ""       ""       ""       ""       ""       ""       ""       ""       0.439686  
  SPLUS-n17s17    iDR3.SPLUS-n17s17.038156    174.73164786697532   -21.19658104320207      3.8192133999999998   1542      8.696955             12.0              3              18.961636            18.23262             18.031994            17.76643             17.654889999999998   17.456035999999997   17.388176            17.14966             16.881252            17.04642             16.740965            16.967003            0.035505295            0.031580962000000004   0.04204796             0.032038763            0.02896456             0.010576482             0.019676786            0.00762809              0.00745884              0.0077951059999999996   0.011539246999999999    0.010434892             0.10323999999999955      0.26840800000000087   0.010906485895985746    0.01066874178118957     0.5412862074306665   0.45871379256933353   "CRTS J113855.5-211148"                         174.7314976366   -21.1966519121   0.0           0.0           90.0            3       "11 38 55.55943" "-21 11 47.9469" RRLyr               "RR*|*  |RR*|RR?|RR?"                                                                                   ""            ""         ""                   ""             0.1386   -0.94    -1.19    ""         ""         ""           ""       17.03    ""       ""       ""       ""       ""       17.386   16.985   17.112   16.932   0.565109  
  SPLUS-n18s10    iDR3.SPLUS-n18s10.009951    163.84009494937516   -23.424249462174128     5.97014              1266      4.745846             12.0              3              18.11552             17.595806            17.465322            17.35289             17.231579            17.056798999999998   16.809357000000002   16.597801            16.167362            16.375898            16.246927            16.172503            0.021021023            0.020869956999999998   0.028737163            0.023099404            0.02015413             0.007859104             0.013806826000000001   0.005895401999999999    0.0054875533            0.005769245300000001    0.009835214             0.0069862953000000005   0.22190300000000107      0.4304389999999998    0.008248633588248181    0.00805412974578538     0.5017841492181674   0.4982158507818326    "6dFGS gJ105521.6-232527"                       163.8400416667   -23.4240972222   ""            ""            172.0           1       "10 55 21.610  " "-23 25 26.75  " Galaxy              G                                                                                                       3450.9077     0.011578   ""                   ""             ""       ""       ""       0.22       0.154      40           16.61    ""       15.48    13.827   13.287   13.106   ""       ""       ""       ""       ""       0.575633  
  SPLUS-n18s11    iDR3.SPLUS-n18s11.017907    165.9423233893419    -23.24501964553323      59.731216            41659     3.9256214999999997   12.0              3              17.650446            17.515547            17.449547            17.339233            17.220817999999998   17.143389000000003   16.930899            16.662731            16.356579            16.61222             16.537554            16.474014            0.019812882            0.023651745            0.031455193            0.02593249             0.023035385            0.008913421             0.016279686            0.0065418435            0.0076378942            0.0065898993            0.011483779             0.00832737              0.050511000000000195     0.30615200000000087   0.009285606558681707    0.010056497610444996    0.5902148747004793   0.4097851252995207    "NGC  3513"                                     165.942          -23.2454805556   ""            ""            172.0           112     "11 03 46.080  " "-23 14 43.73  " GinPair             "EmG|GiP|HI |G  |Rad|G"                                                                                 1200.0        0.004011   ""                   SBc            ""       ""       ""       1.007      0.886      100          12.16    ""       11.11    10.423   9.851    9.154    ""       ""       ""       ""       ""       1.974195  
  SPLUS-n18s21    iDR3.SPLUS-n18s21.030944    180.52810919054875   -23.051671253398336     1.7421919999999997   98        2.9775286            12.0              0              18.330745999999998   17.875412            17.62836             17.436208999999998   17.29644             17.130808            16.990501000000002   16.81864             16.499570000000002   16.715785999999998   16.42428             16.680979999999998   0.02115521             0.023038084            0.02843624             0.021853149            0.019203812            0.0071668616            0.013344808500000001   0.0056355395            0.006036600600000001    0.005666984200000001    0.009784734             0.0076717325            0.10285400000000067      0.3190699999999964    0.007992122082345208    0.008258320183910322    0.5055374272594835   0.49446257274051647   "CRTS J120206.7-230305"                         180.528125       -23.0516388889   ""            ""            172.0           1       "12 02 06.75   " "-23 03 05.9   " EB*                 EB*                                                                                                     ""            ""         ""                   ""             ""       ""       ""       ""         ""         ""           ""       16.78    ""       ""       ""       ""       ""       ""       ""       ""       ""       0.127741  
  SPLUS-n19s05    iDR3.SPLUS-n19s05.020447    170.73371282684457   -24.47777875977149      3.5405318999999995   64        3.8078377            12.0              0              18.458952            18.116394            18.147604            17.98599             18.04828             17.879375            17.88697             17.649162            17.213518            17.492603            17.316295999999998   17.415760000000002   0.032738513999999996   0.035012104            0.058577593            0.04594081             0.048857678            0.016683668000000002    0.033846047000000004   0.011101818999999999    0.009898697             0.01027433              0.016920647             0.013534906000000001    0.15655900000000145      0.4356439999999999    0.015126540981257446    0.014873956682959984    0.6333111741537611   0.3666888258462388    "CRTS J112256.0-242841"                         170.733625       -24.4780555556   ""            ""            172.0           1       "11 22 56.07   " "-24 28 41.0   " EB*                 EB*                                                                                                     ""            ""         ""                   ""             ""       ""       ""       ""         ""         ""           ""       17.98    ""       ""       ""       ""       ""       ""       ""       ""       ""       1.037182  
  SPLUS-n04s43    iDR3.SPLUS-n04s43.035735    208.5470343354216    -3.4408967610650127     10.481424            510       4.469591599999999    12.0              3              19.5121              18.920034            18.641030999999998   18.62704             18.470024            18.45039             18.079556            17.902051999999998   17.511131            17.788906            17.639761            17.760284            0.054044165            0.05139594             0.063559875            0.05588155             0.049272254            0.020010574             0.030587603999999997   0.012810623             0.016078264             0.014351015             0.03273902              0.023106627             0.11314599999999686      0.39092099999999874   0.019237039615760895    0.020557787694735662    0.6816633691454209   0.3183366308545791    "LEDA  126156"                                  208.5474583333   -3.4410555556    2.5           2.5           90.0            1       "13 54 11.39   " "-03 26 27.8   " Galaxy              G                                                                                                       4290.9551     0.014417   ""                   ""             ""       ""       ""       0.32       0.29       32767        ""       ""       ""       ""       ""       ""       ""       ""       ""       ""       ""       1.627352  
  SPLUS-n04s44    iDR3.SPLUS-n04s44.039172    208.54751706827142   -3.4408463277549943     7.3498755000000005   777       5.4140573            12.0              3              18.916603            18.390942000000003   18.112000000000002   18.048523            18.023789999999998   17.852129            17.555721            17.547698999999998   17.105421            17.306542999999998   17.318943            17.251041            0.031538095            0.03385337             0.048805945            0.04335407             0.037911966            0.013540488             0.02158449             0.010575366999999999    0.010121976             0.012277198999999999    0.026391689             0.017952986             0.24115600000000015      0.4422779999999982    0.016203950211917152    0.014638742614352674    0.6653361824880433   0.33466381751195673   "LEDA  126156"                                  208.5474583333   -3.4410555556    2.5           2.5           90.0            1       "13 54 11.39   " "-03 26 27.8   " Galaxy              G                                                                                                       4290.9551     0.014417   ""                   ""             ""       ""       ""       0.32       0.29       32767        ""       ""       ""       ""       ""       ""       ""       ""       ""       ""       ""       0.782233  
  SPLUS-n05s43    iDR3.SPLUS-n05s43.004072    207.8487547626973    -6.069918761179799      20.78006             549       4.4052715            12.0              2              19.247486            18.697073            18.516792000000002   18.567               18.382285999999997   18.22341             17.906235000000002   17.819038            17.418723999999997   17.68127             17.576701999999997   17.543602            0.040060677            0.04357415             0.06624141             0.06347457             0.06032706             0.018960347             0.034505986            0.013625981             0.011430218999999998    0.01431576              0.029085664             0.021297636             0.13776799999999767      0.4003140000000016    0.01976381396871467     0.017785310359966226    0.6827093170523859   0.31729068294761403   "6dFGS gJ135123.7-060412"                       207.8486666667   -6.0700277778    ""            ""            172.0           1       "13 51 23.68   " "-06 04 12.1   " Galaxy              G                                                                                                       3020.628      0.010127   ""                   ""             ""       ""       ""       ""         ""         ""           16.56    ""       15.71    ""       ""       ""       ""       ""       ""       ""       ""       0.503469  
  SPLUS-n07s41    iDR3.SPLUS-n07s41.023017    204.7882876783339    -8.327997709939716      3.9025972            57        3.897558             12.0              0              18.13346             18.076511            18.038754            18.079582000000002   18.022003            18.043423            17.981104000000002   17.670729            17.416922            17.589506            17.538681            17.602259            0.01842493             0.029110422            0.042236212999999995   0.035898246            0.03283598             0.013430988999999999    0.025248802999999997   0.0099040745            0.00977431              0.01139911              0.02448265              0.019151498             0.08122300000000138      0.2538070000000019    0.01510067549792559     0.013915021655665874    0.7043416345224521   0.29565836547754787   "GALEX 2697385722761974216"                     204.7882329256   -8.3280363366    0.0           0.0           90.0            1       "13 39 09.17590" "-08 19 40.9308" Blue                "blu|*  |UV"                                                                                            ""            ""         ""                   ""             ""       0.12     -0.23    ""         ""         ""           17.1     ""       17.5     ""       ""       ""       ""       ""       ""       ""       ""       0.239528  
  SPLUS-n09s37    iDR3.SPLUS-n09s37.004850    199.92798718750052   -11.474580164900795     23.113554            3505      4.9612527            12.0              2              18.421366            17.986898            17.799805            17.842348            17.72853             17.595823            17.489138            17.21067             16.779003            17.061535            16.83128             16.927029            0.03117314             0.035636757000000005   0.047540277            0.04496088             0.03802797             0.014514415             0.02480664             0.009410345             0.009394221999999999    0.009438208             0.01746629              0.012290428             0.14913500000000113      0.4316670000000009    0.013327954204238886    0.013296841730437683    0.5609066545635959   0.4390933454364041    MCG-02-34-029                                   199.9281458333   -11.4745527778   ""            ""            172.0           9       "13 19 42.755  " "-11 28 28.39  " GinGroup            "GiG|G  |*  |G"                                                                                         2580.0        0.008643   ""                   ""             ""       ""       ""       0.367      0.279      0            14.0     ""       13.95    12.574   11.964   11.678   ""       ""       ""       ""       ""       0.568327  
  SPLUS-n10s35    iDR3.SPLUS-n10s35.017069    198.40060156082      -12.470900254658586     9.536264             343       4.3609480000000005   12.0              2              18.359047            17.834554999999998   17.808462            18.006062            17.974133            17.77508             17.037975            17.806086999999998   16.709068            17.982044000000002   17.999717999999998   17.86853             0.021566607            0.023287546            0.038356632            0.034908082            0.033662304            0.012097848999999999    0.015389326000000002   0.011430645             0.00721789              0.014624522             0.03461059              0.0217742               -0.17595700000000392     1.0970189999999995    0.018561688739026656    0.013518786231319918    0.7956099845034048   0.2043900154965952    "LCRS B131057.8-121222"                         198.4007916667   -12.4708333333   0.25          0.23          12.0            2       "13 13 36.19   " "-12 28 15.0   " EmObj               "EmO|G  |IR"                                                                                            3930.8489     0.013199   ""                   ""             ""       ""       ""       ""         ""         ""           ""       ""       ""       16.762   16.473   ""       ""       ""       ""       ""       ""       0.710336  
  SPLUS-n10s35    iDR3.SPLUS-n10s35.027152    197.5365518439323    -12.20565697288585      7.9212774999999995   301       4.143431             12.0              2              19.150223            18.523410000000002   18.282812            18.336504            18.214561            18.160857999999998   17.851242000000003   17.879179999999998   17.544188000000002   17.805386            17.756596            17.674873            0.036044892            0.035773933            0.052802354            0.04361348             0.039579697000000004   0.015261656             0.02479438             0.01197414              0.011534383             0.012990848000000001    0.02862216              0.018726114             0.07379399999999947      0.3349919999999962    0.01766754540106531     0.01662594418161835     0.7275319030917755   0.27246809690822443   "LEDA  105081"                                  197.5367083333   -12.2058055556   2.5           2.5           90.0            2       "13 10 08.81   " "-12 12 20.9   " Galaxy              G                                                                                                       3945.6404     0.013249   ""                   ""             ""       ""       ""       ""         ""         ""           ""       ""       ""       ""       ""       ""       ""       ""       ""       ""       ""       0.767662  
  SPLUS-n11s26    iDR3.SPLUS-n11s26.002384    184.57941117761655   -14.20553320828172      10.773530000000001   466       4.523432             12.0              2              19.060856            18.48499             18.366909            18.470968            18.381454            18.283634            17.907992999999998   17.988081            17.41874             17.89706             17.805634            17.771988            0.0414157              0.040675763            0.056268893            0.056437805            0.049161647            0.01867477              0.027318971            0.012528286999999999    0.010140919             0.013143103             0.024088329             0.018084368             0.09102100000000135      0.5693410000000014    0.018157619106671942    0.016118195101156023    0.7168349898844906   0.2831650101155094    "LEDA  927634"                                  184.5791666667   -14.2055555556   ""            ""            172.0           1       "12 18 19.0    " "-14 12 20     " Galaxy              G                                                                                                       ""            ""         ""                   ""             ""       ""       ""       0.41       0.22       175          ""       ""       ""       ""       ""       ""       ""       ""       ""       ""       ""       0.857107  
  SPLUS-n11s30    iDR3.SPLUS-n11s30.038446    191.11215990716076   -12.876636746547932     8.052218             378       4.3450489999999995   12.0              0              18.834967000000002   18.257362            18.24062             18.227642000000003   18.11147             17.906570000000002   17.678445999999997   17.547974            17.172417000000003   17.42105             17.349846            17.264923            0.044196077            0.044093672            0.05974309             0.058843896            0.05157779             0.017704906             0.02805853             0.010894562             0.011787907             0.010610699             0.018592488             0.01342882              0.12692399999999893      0.37555699999999703   0.015207840558095188    0.01605136232886458     0.6694295058236934   0.3305704941763065    "2MASX J12442692-1252359"                       191.1121666667   -12.8766444444   ""            ""            172.0           2       "12 44 26.920  " "-12 52 35.92  " Galaxy              G                                                                                                       5392.745      0.018153   ""                   ""             ""       ""       ""       0.167      0.12       125          ""       ""       ""       14.764   14.132   13.732   ""       ""       ""       ""       ""       0.036479  
  SPLUS-n11s34    iDR3.SPLUS-n11s34.016752    195.68164279128675   -13.931326571318333     2.3477015            69        3.4520980000000003   12.0              0              18.215094            17.970207000000002   17.97174             17.980234            17.83517             17.798574            17.732864000000003   17.3918              17.093315            17.434452            17.521206            17.536865            0.019364132            0.024114596000000002   0.03589015             0.032382388            0.02884353             0.011260783             0.021103282999999997   0.007883449             0.00782408              0.008929389499999999    0.0183646               0.0137952               -0.042652000000000356    0.29848499999999945   0.011911455199861655    0.011106979606625782    0.7537651214851376   0.24623487851486234   "[VV96] J130243.5-135553"                       195.6815995932   -13.9313331517   0.0           0.0           90.0            4       "13 02 43.58390" "-13 55 52.7993" QSO                 "QSO|IR |*  |QSO"                                                                                       210527.0808   1.391      ""                   ""             0.1065   0.03     -0.01    ""         ""         ""           ""       18.1     ""       16.683   15.967   15.488   ""       ""       ""       ""       ""       0.152786  
  SPLUS-n12s23    iDR3.SPLUS-n12s23.015505    181.65722282987454   -15.28811460859046      5.549360299999999    376       4.4023639999999995   12.0              2              18.537024            18.081861            17.93085             17.850327            17.746105            17.618309            17.328310000000002   17.331039999999998   17.058403            17.238829            17.187876            17.092728            0.021816794            0.025431044            0.034657296000000004   0.029042017000000003   0.026585947999999998   0.010228994             0.016982287            0.00793092              0.007750523299999999    0.008637428             0.015393747             0.011841375             0.09221099999999893      0.2726369999999996    0.011726237866493414    0.011089188584844378    0.6652446000872432   0.33475539991275677   "LEDA  913203"                                  181.6570833333   -15.2883333333   ""            ""            172.0           1       "12 06 37.7    " "-15 17 18     " Galaxy              G                                                                                                       ""            ""         ""                   ""             ""       ""       ""       0.34       0.2        34           ""       ""       ""       ""       ""       ""       ""       ""       ""       ""       ""       0.924485  
  SPLUS-n12s25    iDR3.SPLUS-n12s25.046734    184.579419031614     -14.205547557474516     10.843312            543       4.3518324            12.0              0              18.984245            18.503220000000002   18.468964            18.441803            18.354020000000002   18.261368            17.977795            17.963528            17.453896            17.865267000000003   17.788107            17.706413            0.032240175            0.033808824            0.0521641              0.042069137            0.03880283             0.014183709             0.02410356             0.011097743             0.009314455             0.011922775             0.022373931             0.016581392             0.09826099999999727      0.5096319999999999    0.016288415005600576    0.014488580732462168    0.7179116773224163   0.2820883226775836    "LEDA  927634"                                  184.5791666667   -14.2055555556   ""            ""            172.0           1       "12 18 19.0    " "-14 12 20     " Galaxy              G                                                                                                       ""            ""         ""                   ""             ""       ""       ""       0.41       0.22       175          ""       ""       ""       ""       ""       ""       ""       ""       ""       ""       ""       0.881203  
  SPLUS-n12s31    iDR3.SPLUS-n12s31.061124    192.69598912587918   -14.483746732287926     10.131719            861       4.157068700000001    12.0              2              18.938534            18.323444            18.330666            18.245511999999998   18.064660999999997   17.941063            17.712944            17.404132999999998   16.693756            17.304375            17.191448            17.063639000000002   0.02468568             0.023501065            0.035672892000000005   0.029289408            0.02518847             0.00977217              0.016704895            0.0063577997            0.0049985168            0.006435011             0.01202175              0.00789169              0.09975799999999779      0.7103769999999976    0.0090460479545181      0.008087446273404375    0.6403505287315272   0.35964947126847285   "LEDA  924051"                                  192.6958333333   -14.4833333333   ""            ""            172.0           1       "12 50 47.0    " "-14 29 00     " Galaxy              G                                                                                                       ""            ""         ""                   ""             ""       ""       ""       0.4        0.25       112          ""       ""       ""       ""       ""       ""       ""       ""       ""       ""       ""       1.584212  
